SEP	08	2014	04	09	19	27	33	42	FALSE	46647	49
SEP	06	2014	20	34	35	37	40	42	FALSE	59138	49
SEP	03	2014	10	16	25	32	40	47	FALSE	43111	49
SEP	01	2014	08	13	25	33	36	45	FALSE	34977	49
AUG	30	2014	06	08	15	22	46	47	FALSE	59987	49
AUG	27	2014	07	19	20	23	41	42	FALSE	44438	49
AUG	25	2014	05	12	13	14	21	43	FALSE	39074	49
AUG	23	2014	04	09	12	20	21	24	FALSE	69749	49
AUG	20	2014	11	12	17	25	41	47	FALSE	35414	49
AUG	18	2014	06	11	14	21	24	36	FALSE	40788	49
AUG	16	2014	02	05	23	34	38	43	FALSE	49125	49
AUG	13	2014	07	08	19	26	34	49	FALSE	38323	49
AUG	11	2014	03	24	41	43	44	45	FALSE	26716	49
AUG	09	2014	07	08	16	21	31	32	TRUE	7400677	49
AUG	06	2014	10	18	20	29	30	39	FALSE	71142	49
AUG	04	2014	02	12	21	28	32	44	FALSE	70358	49
AUG	02	2014	01	20	22	38	44	46	FALSE	100137	49
JUL	30	2014	01	11	16	20	45	49	FALSE	62839	49
JUL	28	2014	08	21	24	29	39	47	FALSE	62417	49
JUL	26	2014	06	21	24	42	44	49	FALSE	83924	49
JUL	23	2014	02	11	25	36	44	45	FALSE	62005	49
JUL	21	2014	12	17	20	34	35	46	FALSE	59824	49
JUL	19	2014	10	19	26	27	30	49	FALSE	99054	49
JUL	16	2014	07	12	31	45	48	49	FALSE	70493	49
JUL	14	2014	06	10	24	26	31	34	FALSE	57387	49
JUL	12	2014	04	21	22	29	46	47	FALSE	82399	49
JUL	09	2014	03	23	25	26	29	36	FALSE	61671	49
JUL	07	2014	02	13	14	19	23	45	FALSE	52082	49
JUL	05	2014	08	17	23	30	32	43	FALSE	79685	49
JUL	02	2014	11	13	21	24	29	49	FALSE	63526	49
JUN	30	2014	36	39	42	43	46	47	FALSE	49454	49
JUN	28	2014	07	17	20	21	38	46	FALSE	79716	49
JUN	25	2014	21	24	38	41	43	45	FALSE	65295	49
JUN	23	2014	09	16	24	30	46	49	FALSE	51920	49
JUN	21	2014	16	25	26	33	43	46	FALSE	76972	49
JUN	18	2014	04	13	38	45	46	47	FALSE	50762	49
JUN	16	2014	09	18	19	22	30	44	FALSE	58723	49
JUN	14	2014	07	18	19	20	36	48	FALSE	79626	49
JUN	11	2014	04	25	35	36	40	48	FALSE	51260	49
JUN	09	2014	09	22	28	40	45	46	FALSE	43376	49
JUN	07	2014	14	19	25	26	42	46	FALSE	73291	49
JUN	04	2014	01	09	17	19	33	45	FALSE	60762	49
JUN	02	2014	04	07	10	26	30	49	FALSE	55754	49
MAY	31	2014	01	14	18	29	36	49	FALSE	74845	49
MAY	28	2014	04	06	10	30	34	37	FALSE	52396	49
MAY	26	2014	02	16	21	32	33	44	FALSE	41333	49
